index,Classify_1,Classify_2,ko,en
0264070293,기초과학,생명과학,우리 제약바이오산업에 대해 독자들이 올바르게 이해할 수 있도록 필수적인 기본 지식과 최신 트렌드를 담기 위해 애써주신 저자들에게 감사드린다.,We appreciate the authors' efforts in providing readers with the fundamental information they need to understand our pharmaceutical and biotechnology industry as well as the most recent developments.
0264070293,기초과학,생명과학,"이 책은 바이오산업에 관심은 있지만 잘 몰랐던 분들께도 한국 바이오산업의 성장 과정과 경쟁력, 앞으로 나가야 할 길을 알려주는 좋은 참고서가 될 것이다.","This book will be a useful resource for individuals who are interested in the bio industry but lack a thorough understanding of the competitiveness and growth processes of the Korean bio industry, as well as the industry's future course."
0264070293,기초과학,생명과학,생소한 제약바이오 분야에서 문과 출신도 족적을 남길 수 있다는 증표가 되고 싶은 사람이다.,I aspire to serve as evidence that anyone with a degree in literature may make their mark in the newly emerging field of pharmaceutical and biological research.
0264070293,기초과학,생명과학,"1999년 공채 입사 후 2018년 가을, 바이오 팀장을 맡기 전까지 이공계 영역을 취재해본 적이 없었다.","I had never covered the scientific and engineering field since joining the open recruitment in 1999, until I became the bio team leader in the fall of 2018."
0264070293,기초과학,생명과학,하지만 최근 K바이오의 위상이 날로 커지는 가운데 국가경제와 국민보건에서 바이오산업이 차지하는 비중과 역할을 몸소 체감하고 있다.,The importance of the bio industry to the national economy and to public health is becoming more and more apparent as K-bio's status advances day by day.
0264070293,기초과학,생명과학,혹시 평생의 업이 될지 몰라 다양한 바이오 이슈에 대해 계속 공부하는 중이다.,I continue to research other biological topics in case they become my life's work.
0264070293,기초과학,생명과학,"SK바이오팜의 상장 대박과 K바이오시밀러의 해외 진출, 코로나19의 대유행 등으로 정신없는 나날을 보내고 있지만 독자들에게 생소할 수 있는 바이오 산업을 최대한 쉽고 정확하게 전달하기 위해 항상 고민하고 있다.","Although the COVID-19 pandemic, K-foreign biosimilar's expansion, and SK Biopharmaceuticals' listing jackpot are keeping us busy, we are constantly thinking about how to explain the bio business to our readers in the most clear-cut and understandable way possible."
0264070293,기초과학,생명과학,바이오·헬스케어뿐 아니라 세상을 바꿀 수 있는 과학기술에 관심이 많다.,"I have a strong interest in biotechnology, healthcare, and science and technology that can change the world."
0264070293,기초과학,생명과학,이 행사에는 국내외의 내로라하는 제약바이오 기업 총수들과 최고경영자CEO들이 참석해 한 해 사업계획을 발표하고 연이은 미팅을 통해 신약 판매와 기술수출 등을 논의하기 때문에 뉴스거리가 넘쳐난다.,"The event is packed with news since the heads of domestic and foreign pharmaceutical bio and CEOs attend and announce their business strategies for the year, as well as discuss new medicine sales and technology export through many meetings."
0264070293,기초과학,생명과학,참가하는 한국 제약바이오 업체들의 수도 해마다 늘고 있다.,"Every year, the number of Korea pharmaceutical bio firms participating grows."
0264070293,기초과학,생명과학,급변하는 글로벌 제약바이오 시장에서 국내 기업들의 위상을 확인하고 해외 동향을 파악하는 데 매우 유익한 자리이기 때문에 국내 기자들의 현지 취재 경쟁이 매우 뜨겁다.,"It is a very helpful site to examine the state of home enterprises and to grasp abroad trends in the fast changing global pharmaceutical bio industry, therefore competition for local reporters is fierce."
0264070293,기초과학,생명과학,행사가 열리는 미국뿐만 아니라 전 세계적으로 신종 코로나바이러스 감염증 확산세가 꺾이지 않고 있기 때문이다.,"This is due to the rapid spread of a new species of coronavirus infection not only in the United States, where the event is place, but also globally."
0264070293,기초과학,생명과학,행사는 온라인으로 진행됐지만 코로나19 종식 시점과 효과 있는 백신 접종 및 치료제 개발 등을 놓고 그 어느 때보다 관심이 높았다.,"Despite the fact that the event was hosted online, there was greater interest than ever in the date of COVID-19's termination and the discovery of effective vaccines and therapies."
0264070293,기초과학,생명과학,2020년 1월 설 연휴 시작과 함께 국내 코로나19 확진자가 처음 발생하면서 바이오산업은 한국에서도 크게 주목받기 시작했다.,"The first incidence of COVID-19 was confirmed in Korea at the commencement of the Lunar New Year break in January 2020, and the bio sector began to receive a lot of attention in Korea."
0264070293,기초과학,생명과학,"바이러스나 항체, 진단키트 같은 단어가 일상화됐고, 진단키트를 출시했거나 치료제 및 백신 개발에 뛰어든 국내 업체들의 주가는 폭등했다.","Words like viruses, antibodies, and diagnostic kits have become ubiquitous, and the stock prices of domestic companies that have produced diagnostic kits or jumped into therapy and vaccine development have skyrocketed."
0264070293,기초과학,생명과학,코로나19로 외출 자제 등 생활의 불편은 커졌지만 감염병 등 각종 질병을 해결하기 위한 바이오산업의 위상은 한층 더 높아졌다.,"Although the inconvenience of life, such as not going out, has increased as a result of the coronavirus, the bio industry's ability to solve various ailments, such as infectious diseases, has improved even more."
0264070293,기초과학,생명과학,"특히 코로나19 확진 여부를 판정하는 진단키트를 만드는 국내 업체들은 전 세계에서 가장 빨리, 가장 많은 수의 제품을 내놓으며 해외에서 호평을 받았다.","Domestic enterprises that create diagnostic kits to detect whether or not COVID-19 has been confirmed, in particular, have been favorably received worldwide by launching the world's fastest and largest number of goods."
0264070293,기초과학,생명과학,이는 K바이오에 대한 국민들의 인식마저 긍정적으로 바꿔놓았다.,This has improved the public's opinion of K-bio.
0264070293,기초과학,생명과학,과거 사스나 메르스 때와는 달리 국내 업체들이 코로나19 치료제와 백신 개발까지 적극적으로 뛰어들면서 까다로운 신약 개발이 다국적 제약사들만의 전유물이 아니라는 점을 우리 국민은 피부로 느끼고 있다.,"Unlike in the past with SARS and MERS, Korean firms are actively developing COVID-19 medicines and vaccines, and the Korean people believe that the creation of challenging new pharmaceuticals is not limited to foreign pharmaceutical companies."
0264070293,기초과학,생명과학,"우리나라가 올림픽이나 월드컵에서 좋은 성적을 내고, 반도체 등 각종 산업 기술과 K팝으로 전 세계에서 호평을 받는 데 이어 이제는 K바이오, K의료까지 글로벌 수준에 접근해가고 있음을 확실히 깨닫고 있다.","Our country has performed well in the Olympics and World Cup, and its many industrial technologies, such as semiconductors and K-pop, are well-received around the world."
0264070293,기초과학,생명과학,사실 2019년 5월 정부가 ‘바이오헬스 국가비전’ 선포를 통해 바이오산업을 차세대 먹거리로 키우겠다는 포부를 밝혔을 때만 해도 사람들은 그 발표 내용을 크게 체감하지 못했다.,"In reality, when the government proclaimed its intention to expand the bio sector as a next-generation profit source in May 2019 with the declaration of the biohealth national vision, people were skeptical."
0264070293,기초과학,생명과학,하지만 장기간 코로나19 사태를 겪으며 이를 해결하는 데 바이오산업의 역할이 크다는 점을 국민 대다수가 몸소 체험하면서 K바이오에 대한 지원을 확대해야 한다는 목소리가 커지고 있다.,"As most people have witnessed the bio industry's role in addressing the COVID-19 situation for a long time, voices asking for increased support for K-bio are growing."
0264070293,기초과학,생명과학,"정부와 국회가 나서 코로나19 관련 의약품 개발을 위한 긴급 예산을 편성하고, 신속한 임상시험을 지원하는 등 과거의 규제 일변도에서 사업 친화적으로 바뀐 것은 매우 고무적인 일이다.","It is very encouraging that the government and the National Assembly took the initiative and made business-friendly regulatory reforms, such as creating an emergency fund for COVID-19-related medication research and supporting quick clinical trials."
0264070293,기초과학,생명과학,이 책은 코로나19가 바꿔놓은 K바이오에 대한 관심과 기대 속에서 바이오산업 전반에 대한 일반 독자들의 이해를 돕기 위해 쓰여졌다.,"The goal of this book is to provide ordinary readers with an understanding of the bio business as a whole in the midst of interest in and anticipation for K-bio, which has been altered by COVID-19."
0264070293,기초과학,생명과학,바이오 이슈들에 대해 알고 싶지만 생소한 용어 때문에 접근조차 망설이고 있는 일반인들이 바이오산업 전반에 대한 이해의 폭을 넓히는 데 주안점을 두었다.,The goal was to increase general public knowledge of the entire bio business for those who are interested in bio issues but are afraid to even start talking about them due to unfamiliar terms.
0264070293,기초과학,생명과학,필자들은 제약바이오를 불과 2년~3년간 다뤄본 기자들이기에 물론 학문적 깊이는 이 분야에 오랫동안 종사해온 전문가들보다 낮을 수 있다.,"Of course, the academic depth of the authors may be less than that of experts who have worked in this sector for a long time because they are journalists who have only been working in pharmaceutical bio for two to three years."
0264070293,기초과학,생명과학,그런 만큼 다양한 바이오 이슈들에 대한 폭넓은 취재를 바탕으로 기자 본연의 독자 친화적인 글쓰기 능력을 살려 쉽게 쓰려고 노력했다.,I tried to write simply by employing the journalist's skill to write in a reader-friendly manner based on wide coverage of many bio topics.
0264070293,기초과학,생명과학,무엇보다 독자들이 이 책 한 권을 읽으면 어디 가서 다른 사람들과 바이오에 대한 대화를 나누는 데 무리가 없도록 하는 데 포인트를 맞췄다.,"Above all, it was important to make sure that readers could discuss biology with others after finishing the book."
0264070293,기초과학,생명과학,이 책이 국내 일반인들이 K팝을 이해하는 수준으로 K바이오에도 좀 더 친숙하게 다가갈 수 있는 촉매제가 된다면 더할 나위가 없겠다.,"If this book could help the general public better understand K-pop and approach K-bio, that would be fantastic."
0264070293,기초과학,생명과학,반 대표는 코로나19 사태의 장기화로 바이오 관련 책 수요가 있다는 냄새를 맡고서 내게 책을 써보지 않겠느냐고 요청을 해왔다.,CEO Ban has suggested that I write a book after seeing a market for bio-related literature as a result of the ongoing COVID-19 crisis.
0264070293,기초과학,생명과학,사실 나는 기자로서 제약바이오를 취재하기는 했지만 전공 분야가 아닌지라 책을 낼 생각은 전혀 없었다.,"Actually, I covered pharmaceutical bio as a reporter, but since that was not my area of study, I had no plans to write a book on it."
0264070293,기초과학,생명과학,하지만 반 대표는 “하루키 책은 하루키 이름 때문에 팔렸는데 김 기자는 하루키 수준이 아니다”라며 거절하더니 대뜸 코로나19 시국에 바이오 책을 써보자고 요청했던 것이다.,"CEO Ban declined, stating that, ""The Haruki book was sold due to the Haruki name, but Reporter Kim is not at the level of Haruki,"" and then asked that I write a bio book about the COVID-19 situation."
0264070293,기초과학,생명과학,처음엔 힘들어 보였지만 취재와 공부한 내용을 책으로 확장할 수 있다면 바이오산업에 대한 독자의 이해를 도울 수 있으리라 생각하고 용기를 냈다.,"At first, it looked challenging, but I had the guts to push through because I believed that if I could expand the coverage and study into a book, it would aid readers in understanding the bio business."
0264070293,기초과학,생명과학,이것이 지금까지 써놓은 여행 에세이 원고의 절반가량은 노트북에 남겨둔 채 바이오 책부터 출간하게 된 경위다.,"The bio book was released in this manner, leaving nearly half of the trip article drafts I had previously written on my laptop."
0264070293,기초과학,생명과학,독자들은 이 책을 통해 바이오산업의 개괄적인 지식을 얻은 뒤 바이오 분야에 대해 더욱 흥미가 생긴다면 좀 더 전문적인 책으로 나아가길 권한다.,It is advised that readers who find themselves becoming more interested in the bio field after reading this book should go on to a more specialist book.
0264070293,기초과학,생명과학,지루한 코로나19 사태 속에서 안전한 백신과 치료제를 접종받을 수 있는 그날까지 모두가 건강하고 무사하길 기원한다.,I sincerely hope that everyone stays safe and healthy until the day when we can receive secure immunizations and medical care amidst the tedious COVID-19 situation.
0264070293,기초과학,생명과학,고대 그리스의 의사 히포크라테스도 버드나무즙의 효능을 알았다.,The effectiveness of willow juice was also discovered by the Greek physician Hippocrates.
0264070293,기초과학,생명과학,그는 진통을 겪고 있거나 해열이 필요한 환자에게 버드나무 껍질을 달여 먹였다.,He gave a patient who was in labor or required fever relief willow bark.
0264070293,기초과학,생명과학,"버드나무 껍질처럼 자연에서 얻은 식물, 동물, 광물을 활용해 질병의 치료에 이용하는 것을 ‘천연의약품’이라고 한다.","Natural medicine refers to the use of plants, animals, and minerals found in nature."
0264070293,기초과학,생명과학,사람들은 오랜 세월 천연의약품을 이용해 아픔을 달래고 치료해왔다.,"For centuries, people have used natural remedies to reduce and eliminate pain."
0264070293,기초과학,생명과학,하지만 천연의약품 속 어떤 성분이 약효를 가졌는지는 알지 못했다.,Which natural components in medicines have therapeutic effects was unknown.
0264070293,기초과학,생명과학,그리고 여기서 한발 더 나아가 살리실을 합성하는 기술도 알아낸다.,"Here, we take things a step further and learn how to make salicyl synthetically."
0264070293,기초과학,생명과학,하지만 살리실산은 구역질 때문에 먹기가 힘들다는 단점이 있었다.,Salicylic acid's drawback was that it made eating challenging due to nausea.
0264070293,기초과학,생명과학,독일 제약사 바이엘의 연구원인 펠릭스 호프만이 새로운 의약품을 개발한 이유다.,"This is why Felix Hoffmann, a researcher at the German pharmaceutical company Bayer, created the new medicine."
0264070293,기초과학,생명과학,그의 아버지는 심한 관절염을 앓고 있었는데 매번 구역질을 억지로 참아가며 살리실산을 복용해야 했다.,His father had terrible arthritis and had to force himself to take salicylic acid every time due to nausea.
0264070293,기초과학,생명과학,호프만은 아버지를 위해 구역질을 줄일 수 있는 방안을 찾다가 1897년 10월 살리실산과 아세트산을 합성해 부작용을 없애는 데 성공한다.,"Hoffman was looking for a means to help his father's nausea, and in October 1897 he synthesized salicylic acid and acetic acid, successfully eradicating the negative effects."
0264070293,기초과학,생명과학,합성의약품은 아스피린처럼 우리 몸 안에 들어왔을 때 치료 효과를 보이는 물질을 찾은 뒤 화학적으로 합성해 만든 의약품이다.,"Synthetic medicines are pharmaceuticals that are chemically produced after discovering a compound that has a therapeutic impact in human bodies, such as aspirin."
0264070293,기초과학,생명과학,구체적으로 말하자면 페니실린은 세균 내 세포벽을 튼튼하게 만드는 트랜스펩티데이스라는 효소에 달라붙는다.,"Penicillin, in particular, binds to transpeptidase, an enzyme that strengthens the cell wall in bacteria."
0264070293,기초과학,생명과학,이 효소가 페니실린과 결합하면 원래 자신이 해왔던 일인 펩티도글리칸 분자를 연결하는 일을 하지 못하게 된다.,"When this enzyme attaches to penicillin, it is no longer able to join peptidoglycan molecules, as it was previously."
0264070293,기초과학,생명과학,이는 마치 집을 지을 때 벽돌과 벽돌 사이에 바르는 시멘트를 없애는 일과 비슷하다.,This is analogous to removing the cement used between bricks when building a house.
0264070293,기초과학,생명과학,결국 페니실린을 만난 세균은 일종의 피부 역할을 하는 세포벽이 터져 죽게 된다.,"Bacteria that come into contact with penicillin eventually rupture the cell wall, which acts as a form of skin."
0264070293,기초과학,생명과학,원하는 목표를 벗어나 다른 곳에 결합하면 예상치 못한 부작용이 일어날 수도 있다.,Combining them elsewhere may result in unforeseen negative effects.
0264070293,기초과학,생명과학,"반면 바이오의약품은 미생물, 식물, 동물세포와 같은 살아 있는 세포에서 제조된다.","Biopharmaceuticals, on the other hand, are made from live cells such as microorganisms, plants, and animal cells."
0264070293,기초과학,생명과학,분자 하나가 곧 약물인 합성의약품과 달리 바이오의약품은 분자들의 혼합물인 경우가 많다.,"Biopharmaceuticals are frequently a mixture of molecules, as opposed to synthetic medicine, where one molecule is a drug."
0264070293,기초과학,생명과학,간단하게 구조를 알아낼 수 있는 합성의약품과 달리 바이오의약품의 구조를 파악하기란 쉽지 않다.,"The structure of biopharmaceuticals is difficult to grasp, in contrast to synthetic medication, which can be easily determined."
0264070293,기초과학,생명과학,마치 물 안에 들어간 수초처럼 세포 내 산성도 등에 따라 그 모양이 변성되기 때문이다.,"This is because, like an aquatic plant in water, the form of the cells changes depending on the acidity."
0264070293,기초과학,생명과학,"1796년 영국 의사 에드워드 제너는 시골에서 의사 견습생 수련을 받던 중, 소 젖을 짜다가 우두에 걸린 사람은 천연두에 걸리지 않는다는 이야기를 듣고 여기서 착안해 우두법을 개발했다.","While training as a doctor in the countryside in 1796, Edward Jenner of the United Kingdom discovered that people who caught cowpox while milking cows did not get smallpox."
0264070293,기초과학,생명과학,우두 균을 정상적인 사람의 피부 내에 주입해 우두에 걸리게 유도하는 방식이다.,It is a method of inducing cowpox by injecting cowpox into the skin of a healthy person.
0264070293,기초과학,생명과학,이후 1880년대 프랑스의 루이 파스퇴르가 현대적인 백신을 만들었다.,Louis Pasteur of France later created a modern vaccination in the 1880s.
0264070293,기초과학,생명과학,파스퇴르는 이 균을 ‘백신’으로 불렀는데 라틴어로 암소를 뜻하는 ‘vacca’에서 유래했다.,"Pasteur named the bacterium 'vaccine,' from the Latin 'vacca,' which means ‘cow.’."
0264070293,기초과학,생명과학,암소를 활용해 우두법을 개발한 제너를 기리는 마음에서다.,"In honor of Jenner, who pioneered the method of using cowpox."
0264070293,기초과학,생명과학,이후 같은 바이러스가 다시 침입하면 기존에 만들어놓은 항체가 그 바이러스를 공격해 감염을 막는다.,"When the same virus returns later, the already created antibodies attack it and stop infection."
0264070293,기초과학,생명과학,"화학구조가 간단해 연구소에서 대량으로 합성할 수 있는 합성의약품과 달리 바이오의약품은 원하는 형태로 만들기 어려웠고, 대량생산도 불가능했기 때문이다.","Biopharmaceuticals were challenging to generate in the desired form and were impossible to mass-produce, in contrast to synthetic medicines, which can be produced in vast quantities in a laboratory due to their simple molecular structure."
0264070293,기초과학,생명과학,하지만 1970년대 유전 혁명이 이 흐름을 바꾼다.,This pattern was altered by the oil revolution of the 1970s.
0264070293,기초과학,생명과학,단일클론항체를 만들기 위한 이 방식은 항체를 생산하는 B세포와 암세포를 융합했다.,"By fusing B cells that produce antibodies with cancer cells, this technique produces monoclonal antibodies."
0264070293,기초과학,생명과학,B세포는 면역계를 구성하는 중심 세포인 림프구의 일종으로서 면역반응을 통해 외부에서 침입하는 항원에 대항해 항체를 만들어낸다.,"B cells are a subtype of lymphocytes, which make up the immune system's core cells and create antibodies against foreign invaders known as antigens."
0264070293,기초과학,생명과학,반면 암세포는 인체 내에서 세포가 원래 담당하던 기능을 전혀 수행하지 못하지만 인체의 면역망을 뚫고 무한정 증식하는데 그러한 특징이 바이오의약품 생산에 활용됐다.,"Contrarily, malignant cells breach the body's immune system and continue to proliferate despite not carrying out the initial tasks allocated to human body cells."
0264070293,기초과학,생명과학,B세포와 암세포를 융합한 새로운 세포는 죽지 않고 계속 늘어나면서도 B세포의 원래 기능인 항체 생산을 진행했다.,"The new cells formed from the fusion of a malignant cell and a B cell continued to grow and continue to produce antibodies, which was the original purpose of B cells."
0264070293,기초과학,생명과학,연구진은 이 중 원하는 항체를 생성하는 B세포만을 선별해 배양하는 방식으로 항체의 대량생산 시대를 열었다.,"By choosing and cultivating only B cells that produce the desired antibodies, the research team launched the era of mass production of antibodies."
0264070293,기초과학,생명과학,아울러 비슷한 시기인 1973년 미국 스탠포드대학교에서 개발한 ‘재조합 DNA 기술’로 원하는 형태의 바이오의약품을 만들어낼 수 있게 됐다.,"Recombinant DNA technology, which was created in 1973 at Stanford University in the United States, also made it possible to develop a specific type of biopharmaceutical at the same time."
0264070293,기초과학,생명과학,연구진이 대장균 등 미생물의 유전자를 자른 뒤 원하는 유전자를 삽입한다.,Researchers remove the desired gene from bacteria like colon bacillus and splice it in.
0264070293,기초과학,생명과학,그러면 미생물이 자신이 필요한 단백질을 만들어내는 와중에 연구진이 삽입한 유전자의 단백질도 함께 합성한다.,The bacterium simultaneously synthesizes the protein it requires and the protein encoded by the gene that the research team introduced.
0264070293,기초과학,생명과학,이 같은 방법으로 인류는 미생물을 통해 자신이 원하는 항체를 생산해낼 수 있게 됐다.,"In this manner, microbes have allowed humans to create the antibodies they need."
0264070293,기초과학,생명과학,항체 입자 하나의 크기는 합성의약품 입자의 크기보다 약 500배 이상 무겁고 크다.,One antibody particle is roughly 500 times heavier and larger than a particle from a synthetic drug.
0264070293,기초과학,생명과학,개발이 훨씬 어려운 대신 개발에 성공한다면 합성의약품보다 부작용이 확연히 적다.,"The negative effects are substantially less than those of synthetic drugs, despite the fact that development is far more challenging."
0264070293,기초과학,생명과학,"유전자, 단백질 등 생체 내에서 사용하는 물질을 활용해 의약품을 제조하는 만큼 그동안 치료가 힘들었던 희귀난치성질환에 효과가 뛰어나다.","Due to the fact that it creates medications utilizing elements found in the body, like genes and proteins, it is useful in treating rare and incurable diseases that have been challenging to cure."
0264070293,기초과학,생명과학,항체 의약품의 중요성은 코로나19의 대유행 속에서 더욱 커지고 있다.,"In the midst of the COVID-19 pandemic, an antibody drug is becoming increasingly important."
0264070293,기초과학,생명과학,"기술 수준이 높고, 설비 비용도 많이 들기 때문에 값이 비싸다.","Because of the high cost of the equipment and the high degree of technology involved, it is pricey."
0264070293,기초과학,생명과학,바이오의약품의 경우 치료 비용이 회당 수천만 원을 넘는 경우도 많다.,The price of a single therapy for biopharmaceuticals frequently exceeds tens of millions.
0264070293,기초과학,생명과학,전 세계 글로벌 제약사들이 바이오의약품 개발에 나선 이유다.,This is the rationale for the development of biopharmaceuticals by multinational pharmaceutical corporations.
0264070293,기초과학,생명과학,"인간을 건물로 비유하자면 유전자는 인간이라는 건물의 전체 설계도, 염색체는 각 방을 설계하는 도면이다.","If we think of humans as structures, then the genes serve as the general blueprint, and the chromosomes serve as the floor plans for each individual room."
0264070293,기초과학,생명과학,먼저 생명체의 모든 기능을 다스리는 설계도인 유전자부터 살펴보자.,"Let's start by looking at genes, which serve as the instructions manual for all biological processes."
0264070293,기초과학,생명과학,유전자는 세포 속에서도 가장 깊숙한 곳인 핵 속에 감춰져 있다.,"Genes are found in the nucleus, the deepest part of the cell."
0264070293,기초과학,생명과학,핵 속에는 X자 모양의 염색체가 여러 개 있다.,The nucleus contains several X-shaped chromosomes.
0264070293,기초과학,생명과학,"사람의 경우 세포마다 23쌍, 총 46개의 염색체가 있다.","In humans, each cell contains 23 pairs of chromosomes, for a total of 46 chromosomes."
0264070293,기초과학,생명과학,"마지막 염색체는 성염색체로 여자는 XX, 남자는 XY다.","The final chromosome is the sex chromosome, designated as XX in women and XY in males."
0264070293,기초과학,생명과학,"염색체 수는 생명체마다 다른데 사람은 23쌍이지만 개는 39쌍, 돼지는 14쌍이다.","The number of chromosomes differs between organisms. Humans have 23 pairs, while dogs have 39 and pigs have 14."
0264070293,기초과학,생명과학,사람을 비롯한 생명체는 이 뉴클레오티드의 배열 순서를 통해 몸을 구성한다.,"The sequence of these nucleotides is used by organisms, including humans, to build their bodies."
0264070293,기초과학,생명과학,네 종류의 염기는 서로 짝이 있어 짝끼리 결합할 수 있다.,The four types of bases are paired with one another so that they can bind to one another.
0264070293,기초과학,생명과학,"아데닌은 티민과, 시토신은 구아닌과 결합하는 습성이 있다.","Cytosine binds to guanine, while adenine binds to thymine."
0264070293,기초과학,생명과학,실처럼 생긴 DNA 사슬이 자신과 짝을 맞춘 다른 DNA 사슬과 서로 휘감으며 결합한 이중나선 구조로 이뤄졌다.,A thread-like DNA chain is wrapped around and connected to another DNA strand that is coupled with it in a double-helix structure.
0264070293,기초과학,생명과학,DNA보다 불안정해 쉽게 변형이 일어나거나 사라지는데 RNA가 단백질을 만들어내기 위한 설계도의 사본 역할을 하는 만큼 빠르고 쉽게 사용하고 없애버리기 위해서다.,"Since RNA serves as a duplicate of the blueprint for building protein, it can be used and destroyed rapidly and readily because it is more unstable than DNA."
0264070293,기초과학,생명과학,평소 DNA는 세포의 핵 내부에서 단백질과 함께 염색질이라는 물질을 이룬다.,"Normally, DNA and protein combine to create a substance called chromatin inside the nucleus of cells."
0264070293,기초과학,생명과학,염색질은 세포분열 과정 속에서 염색체 단위로 뭉치게 된다.,"During cell division, chromatin congregates into chromosome units."
0264070293,기초과학,생명과학,분열 과정에서 변형이 일어나면 안 되기 때문이다.,This is necessary since the division procedure cannot include the transformation.
0264070293,기초과학,생명과학,우리가 의약품으로 사용하는 항체 역시 단백질의 한 종류다.,Another class of protein is the antibodies that we use as medications.
0264070293,기초과학,생명과학,면역체계에서 항체는 세균과 바이러스와 같은 외부 항원과 결합해 침입자를 인식하고 면역세포로 하여금 침입자를 공격하도록 만든다.,"In order to identify an invader and trigger an immune cell attack, antibodies in the immune system bind to foreign antigens, such as bacteria and viruses."
0264070293,기초과학,생명과학,각 의약품은 목표로 하는 적응증을 낫게 할 수 있어야 한다.,Each medication ought to be effective at treating the intended symptom.
